trace_num,human_majority,human_agreement,human_Kavin,human_Fahim,human_Yurun,human_Daivik,human_Gerard,human_Gezheng,GPT (Kavin),GPT (Fahim),Llama (Kavin),Llama (Fahim),gpt_majority,llama_majority,all_llm_majority
373,REPLAN,0.50,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
375,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE
381,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
382,RETRY,0.50,REPLAN,RETRY,REPLAN,RETRY,RETRIEVE_MORE,RETRY,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
385,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
386,RETRIEVE_MORE,0.50,RETRIEVE_MORE,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX
391,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
394,REPLAN,0.67,REPLAN,REPLAN,REPLAN,RETRY,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRY,RETRIEVE_MORE,RETRIEVE_MORE,RETRY,RETRIEVE_MORE
395,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
402,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
405,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
408,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
411,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
413,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
417,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
418,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
422,REPLAN,0.50,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
427,REPLAN,0.67,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
429,REPLAN,0.67,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
438,REPLAN,0.50,RETRY,REPLAN,REPLAN,RETRY,TOOL_FIX,REPLAN,RETRY,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRY,RETRIEVE_MORE,RETRIEVE_MORE
440,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
443,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
445,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
446,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
447,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
456,RETRY,0.67,RETRY,REPLAN,REPLAN,RETRY,RETRY,RETRY,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
458,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
473,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
474,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
478,REPLAN,0.50,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
479,REPLAN,0.50,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
486,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
495,REPLAN,0.50,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
498,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,RETRY,TOOL_FIX,TOOL_FIX,RETRY,TOOL_FIX
500,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
503,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX
504,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
506,REPLAN,0.50,REPLAN,REPLAN,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE
507,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX
509,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE
515,RETRIEVE_MORE,0.83,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX
522,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
524,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
527,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
531,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
536,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
537,RETRY,1.00,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
544,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
545,RETRY,0.50,RETRY,RETRY,REPLAN,RETRY,ESCALATE,ESCALATE,ESCALATE,ESCALATE,ESCALATE,ESCALATE,ESCALATE,ESCALATE,ESCALATE
546,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
547,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
550,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
557,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
558,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,ESCALATE,ESCALATE,RETRIEVE_MORE,ESCALATE,RETRIEVE_MORE
